hotel,arrival_date,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,is_repeated_guest,reserved_room_type,assigned_room_type,deposit_type,customer_type,adr,total_of_special_requests,reservation_status,reservation_status_date,room_match_flag,total_guest,family_flag,booking_changes_flag,total_nights,revenue,booking_time_flag,weekend_ratio,expected_loss,booking_value,booking_urgency,sameDay_booking
Resort Hotel,2015-07-01,0,342,2015,July,27,1,0,0,2,BB,PRT,Direct,Direct,0,C,C,No Deposit,Transient,0,0,Check-Out,2015-07-01,Room Match,2,0,TRUE,0,0,90+,0,0,Low Value,0,0
Resort Hotel,2015-07-01,0,737,2015,July,27,1,0,0,2,BB,PRT,Direct,Direct,0,C,C,No Deposit,Transient,0,0,Check-Out,2015-07-01,Room Match,2,0,TRUE,0,0,90+,0,0,Low Value,0,0
Resort Hotel,2015-07-01,0,7,2015,July,27,1,0,1,1,BB,GBR,Direct,Direct,0,A,C,No Deposit,Transient,75,0,Check-Out,2015-07-02,Room Change,1,0,FALSE,1,75,0-7,0,0,Low Value,0.12,0
Resort Hotel,2015-07-01,0,13,2015,July,27,1,0,1,1,BB,GBR,Corporate,Corporate,0,A,A,No Deposit,Transient,75,0,Check-Out,2015-07-02,Room Match,1,0,FALSE,1,75,8-30,0,0,Low Value,0.07,0
Resort Hotel,2015-07-01,0,14,2015,July,27,1,0,2,2,BB,GBR,Online TA,TA/TO,0,A,A,No Deposit,Transient,98,1,Check-Out,2015-07-03,Room Match,2,0,FALSE,2,196,8-30,0,0,Moderate Value,0.07,0
Resort Hotel,2015-07-01,0,0,2015,July,27,1,0,2,2,BB,PRT,Direct,Direct,0,C,C,No Deposit,Transient,107,0,Check-Out,2015-07-03,Room Match,2,0,FALSE,2,214,0-7,0,0,Moderate Value,1,1
Resort Hotel,2015-07-01,0,9,2015,July,27,1,0,2,2,FB,PRT,Direct,Direct,0,C,C,No Deposit,Transient,103,1,Check-Out,2015-07-03,Room Match,2,0,FALSE,2,206,8-30,0,0,Moderate Value,0.1,0
Resort Hotel,2015-07-01,1,85,2015,July,27,1,0,3,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,82,1,Canceled,2015-05-06,Room Match,2,0,FALSE,3,246,31-90,0,246,Moderate Value,0.01,0
Resort Hotel,2015-07-01,1,75,2015,July,27,1,0,3,2,HB,PRT,Offline TA/TO,TA/TO,0,D,D,No Deposit,Transient,105.5,0,Canceled,2015-04-22,Room Match,2,0,FALSE,3,316.5,31-90,0,316.5,High Value,0.01,0
Resort Hotel,2015-07-01,1,23,2015,July,27,1,0,4,2,BB,PRT,Online TA,TA/TO,0,E,E,No Deposit,Transient,123,0,Canceled,2015-06-23,Room Match,2,0,FALSE,4,492,8-30,0,492,High Value,0.04,0
Resort Hotel,2015-07-01,0,35,2015,July,27,1,0,4,2,HB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,145,0,Check-Out,2015-07-05,Room Match,2,0,FALSE,4,580,31-90,0,0,Premium Value,0.03,0
Resort Hotel,2015-07-01,0,68,2015,July,27,1,0,4,2,BB,USA,Online TA,TA/TO,0,D,E,No Deposit,Transient,97,3,Check-Out,2015-07-05,Room Change,2,0,FALSE,4,388,31-90,0,0,High Value,0.01,0
Resort Hotel,2015-07-01,0,18,2015,July,27,1,0,4,2,HB,ESP,Online TA,TA/TO,0,G,G,No Deposit,Transient,154.77,1,Check-Out,2015-07-05,Room Match,3,1,TRUE,4,619.08,8-30,0,0,Premium Value,0.05,0
Resort Hotel,2015-07-01,0,37,2015,July,27,1,0,4,2,BB,PRT,Online TA,TA/TO,0,E,E,No Deposit,Transient,94.71,0,Check-Out,2015-07-05,Room Match,2,0,FALSE,4,378.84,31-90,0,0,High Value,0.03,0
Resort Hotel,2015-07-01,0,68,2015,July,27,1,0,4,2,BB,IRL,Online TA,TA/TO,0,D,E,No Deposit,Transient,97,3,Check-Out,2015-07-05,Room Change,2,0,FALSE,4,388,31-90,0,0,High Value,0.01,0
Resort Hotel,2015-07-01,0,37,2015,July,27,1,0,4,2,BB,PRT,Offline TA/TO,TA/TO,0,E,E,No Deposit,Contract,97.5,0,Check-Out,2015-07-05,Room Match,2,0,FALSE,4,390,31-90,0,0,High Value,0.03,0
Resort Hotel,2015-07-01,0,12,2015,July,27,1,0,1,2,BB,IRL,Online TA,TA/TO,0,A,E,No Deposit,Transient,88.2,0,Check-Out,2015-07-02,Room Change,2,0,FALSE,1,88.2,8-30,0,0,Low Value,0.08,0
Resort Hotel,2015-07-01,0,0,2015,July,27,1,0,1,2,BB,FRA,Corporate,Corporate,0,A,G,No Deposit,Transient,107.42,0,Check-Out,2015-07-02,Room Change,2,0,FALSE,1,107.42,0-7,0,0,Low Value,1,1
Resort Hotel,2015-07-01,0,7,2015,July,27,1,0,4,2,BB,GBR,Direct,Direct,0,G,G,No Deposit,Transient,153,1,Check-Out,2015-07-05,Room Match,2,0,FALSE,4,612,0-7,0,0,Premium Value,0.12,0
Resort Hotel,2015-07-01,0,37,2015,July,27,1,1,4,1,BB,GBR,Online TA,TA/TO,0,F,F,No Deposit,Transient,97.29,1,Check-Out,2015-07-06,Room Match,1,0,FALSE,5,486.45000000000005,31-90,0.2,0,High Value,0.03,0
