feature,importance
lead_time,0.2888012863550218
adr,0.2269619390152946
arrival_date_week_number,0.1287660884798791
stays_in_week_nights,0.08982017000196056
stays_in_weekend_nights,0.054314275638324444
market_segment_Online TA,0.04095305713627441
deposit_type_Non Refund,0.034646339815127075
adults,0.028692909667394642
customer_type_Transient-Party,0.014425813541554429
hotel_Resort Hotel,0.0109221257719237
hotel_City Hotel,0.009849607151996415
arrival_date_month_August,0.007934605418308455
arrival_date_month_July,0.007181893150730329
arrival_date_month_June,0.005193021995325091
arrival_date_month_September,0.005114391253252982
arrival_date_month_May,0.005045930413221402
arrival_date_month_October,0.004131210694062684
customer_type_Transient,0.004080023724038587
arrival_date_month_April,0.003999144667129805
arrival_date_month_March,0.003687639524063472
arrival_date_month_February,0.0035882168466408937
customer_type_Contract,0.002673045026913633
arrival_date_month_November,0.0022561657870371287
distribution_channel_TA/TO,0.0021771160751540147
distribution_channel_Corporate,0.001866356294262659
distribution_channel_Direct,0.0018511016962249756
market_segment_Offline TA/TO,0.0016735154852319507
arrival_date_month_December,0.0014890003345314718
arrival_date_month_January,0.001481754491338575
market_segment_Direct,0.001456017802953391
market_segment_Groups,0.0012693562134426747
market_segment_Corporate,0.0009978464243841619
customer_type_Group,0.0008790154120787463
market_segment_Aviation,0.0005919324808725029
deposit_type_No Deposit,0.000422507426143362
distribution_channel_GDS,0.00034566062625009293
market_segment_Complementary,0.00020635408972019605
distribution_channel_Undefined,0.00013573439793618738
deposit_type_Refundable,0.00011782967399925785
market_segment_Undefined,0.0
